# file...... transformer_cont_rating.csv
# date...... Wed Aug 28 13:03:36 2019
# user...... austinchang
# host...... (null)
# group..... class=transformer
# property.. continuous_rating
# limit..... 1
# interval.. 0
# timestamp,T62463027880,T62463023775,T62463022676,T62463021663,T62463020670,T62463019414,T62463019467,T62463022289,T62463024257,T62463017479,T62463017451,T62463015557,T62463013576,T62463012540,T62463014734,T62463013737,T62463016837,T62474196023,T62474196103,T62474196213,T62474196353,T62474197215,T62474197105,T62463016634,T62463018249,T62463019253,T62463021200,T62463017045,T62463016077,T62463014050,T62463016201,T62463078922,T62463076899,T62463074775,T62463074165,T62463074161,T62463079127,T62463139950,T62463075133,T62463072031,T62463130794,T62463129146,T62463131250,T62463133761,T62463134578,T62463133818,T62463132499,T62463132037,T62463188832,T62463189781,T62463190598,T62463193504,T62463187888,T62463186742,T62463185453,T62463186324,T62463186577,T62463189482,T62463188978,T62463124087,T62463123126,T62463121197,T62462178321,T62462237996,T62462237964,T62462236981,T62463000400,T62463000511,T62463000610,T62463000688,T62462059787,T62462058491,T62463002948,T62474181036,T62463000829,T62463001814,T62463001769,T62474180122,T62473238073,T62473238126,T62473238283,T62462058961,T62462058764,T62462057695,T62462057585,T62462057478,T62462058873,T62473239069,T62463003904,T62474182459,T62474181497,T62474181443,T62474180389,T62474180356,T62474181695,T62474182678,T62462172490,T62462172379,T62462169245,T62462169442,T62462162948,T62462091135,T62462101267,T62462100224,T62462101338,T62462166454,T62462169469,T62462170743,T62462110060,T62462168870,T62462173272,T62462223734,T62462222618,T62462222900,T62462161089,T62462221998,T62462220516,T62462219856,T62462156117,T62462166024,T62462174081,T62462233960,T62462233819,T62462231679,T62462231545,T62462229741,T62462229436,T62462228465,T62462227457,T62462226538,T62462224580,T62462227535,T62462230473,T62462232564,T62462235631,T62463120010,T62463072330,T62463075357,T62463019150,T62463020868,T62463020860,T62463018961,T62463021550,T62463025910,T62474203073,T62463022999,T62463022938,T62474202166,T62474202360,T62474202362,T62474202471,T62474202581,T62474202681,T62474202791,T62474204749,T62474204859,T62474204979,T62474203987,T62474202989,T62474203769,T62474203566,T62474204575,T62474206505,T62474206624,T62474206724,T62474206824,T62474206947,T62474207936,T62474208904,T62474207830,T62474207612,T62474207437,T62474203356,T62474204354,T62474205022,T62463026955,T62463028953,T62474207085,T62474208138,T62474207223,T62463031930,T62474214083,T62474213347,T62474210056,T62474212237,T62474212358,T62474211356,T62474209464,T62474211583,T62463032849,T62463028740,T62463028430
2000-01-01 00:00:00 PST,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150
2000-01-01 00:00:00 PST,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150,+150
# end of file
