# file...... fuse_cont_rating.csv
# date...... Wed Aug 28 13:03:36 2019
# user...... austinchang
# host...... (null)
# group..... class=fuse
# property.. continuous_rating
# limit..... 1
# interval.. 0
# timestamp,R1182,F8944,F7573,F7944,F7582,F5815,F7585,F7586,F7587,F7589,F8245,F5007,F7591,F7598,R1201,F5187,F7167,F6171,F6537,F7423,R1202,F5269,F5552,F5593,F7514,F7516,F7517,F7515,F5640,R1203,F8885,F7593,F7590,F7588,F5047,F7584,F7581,F7580,F7508,F6543,F7427,F7409,F7579,F7572
2000-01-01 00:00:00 PST,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000
2000-01-01 00:00:00 PST,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000,+1000
# end of file
